"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"2019-11-01","Ampliatoria","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","30","No","No","NS/NC","Argentina","NS/NC","NS/NC","NS/NC","No","No","4","Femenino","30","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-01","06","","","06"
"2019-11-01","Nueva","No","Sí","Víctima Directa","Masculino","NS/NC","NS/NC","NS/NC","NS/NC","no","No","CABA","Argentina","NS/NC","NS/NC","Caba","No","No","NS/NC","NS/NC","NS/NC","Caba","Explotación Laboral","Línea 145","NS/NC","Protex ","2019-11-01","","02","02","02"
"2019-11-01","Nueva","No","No","No es Víctima","Masculino","40","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Argentina","Femenino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","2019-11-01","06","06","","06"
"2019-11-01","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Presencia de M y H","NS/NC","No","No","NS/NC","Países Limítrofes","Masculino","NS/NC","CABA","No","No","NS/NC","Presencia de M y H","NS/NC","CABA","Explotación Laboral","Línea 145","Boca en Boca","Policía Federal y Area Legal del PNR","2019-11-01","02","","02","02"
"2019-11-01","Relacionada","NO","Sí","No es Víctima","Femenino","NS/NC","Neuquén","Femenino","22","NO","NO","Neuquén","Países Limítrofes","NS/NC","NS/NC","NS/NC","NO","NO","1","Femenino","22","Neuquén","Oferta Laboral Engañosa","Línea 145","ONG-Organismos nacionales","Protex ","2019-11-01","58","58","","58"
"2019-11-01","Ampliatoria","NO","Sí","No es Víctima","Masculino","NS/NC","Salta","Femenino","14","NO","NO","Salta","NS/NC","Masculino","NS/NC","Salta","NO","NO","NS/NC","Femenino","14","Salta","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-01","66","66","66","66"
"2019-11-01","Nueva","No","No","Víctima Directa","Femenino","31","Buenos Aires","Femenino","1","No","No","Buenos Aires","Países Limítrofes","Masculino","31","Buenos Aires","No","No","4","Femenino","1","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-11-02","06","06","06","06"
"2019-11-01","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Publicidad de Oferta Sexual","Línea 145","NS/NC","Protex ","2019-11-01","06","","",""
"2019-11-02","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Buenos Aires","NS/NC","NS/NC","No","No","Buenos Aires","NS/NC","Masculino","NS/NC","Buenos Aires","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-02","06","06","06","06"
"2019-11-02","Nueva","No","No","Víctima Directa","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-11-02","06","06","06","06"
